name,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects,id,fid
Stiletto,99,"['Stana Katic', 'Tom Berenger', 'Paul Sloan', 'Michael Biehn', 'William Forsythe', 'Kelly Hu', 'Amanda Brooks', 'Diane Venora', 'Tony Lip', 'James Russo', 'Tom Sizemore', 'Dominique Swain', 'D.B. Sweeney', 'David Proval', 'Efrain Figueroa', 'Jesse Corti', 'Robert R. Shafer', 'Christopher Allen Nelson', 'Michelle Lombardo', 'Bar Paly', 'Warren Ostergard', 'Gary Private', 'Colleen Porch', 'Avrielle Corti', 'Jesse David Corti', 'Mio Dzakula', 'Casey Pieretti', 'Michelle Lee', 'Susan Han', 'Garret Sato', 'Kaleti Williams', 'Lorena Bernal', 'Fernando Vargas', 'Joe Ordaz', 'Ben Hernandez Bray', 'Erica Franco', 'Karen McDougal', 'Bonnie-Jill Laflin', 'Nick Chandler', 'Mark De Alessandro', 'Peewee Piemonte', 'Mario Perez', 'Rene Moran', 'Jacqueline Lord', 'Steven Schub', 'Herman Wilkins', 'Brian Hayes Currie', 'R.A. Mihailoff', 'Andrew Bryniarski', 'Patricia Skeriotis', 'Katrina Law', 'Noelle Kenney', 'Jennifer Sparks', 'Dwyer Kilcollin', 'Dakota Ferreiro', 'Jarrod Bunch', 'Timon Kyle Durrett', 'Adrienne Janic', 'Noelle Bonhomme', 'Nicole Spruill', 'Frida Farrell', 'Tasha Tae', 'Kimberly Burke', 'Kass Connors', 'Peter Cordova', 'David Bacon', 'Alina Andrei', 'Gabrielle Tuite', 'Scott Whyte', 'Brie Gabrielle', 'Pinky Jones', 'Kavi Raz', 'Sala Baker', 'Tom Harper', 'Yodi Joseph', 'Jackson Lee', 'Ana Therese Lopez', 'Warren Tatoy', 'Ella Thomas', 'Yana Yanezic']","['Action', 'Crime', 'Drama', 'Thriller']",['us'],"['en', 'ru', 'es']",R,4000000.0,,,4.9,2456.0,,Stiletto,Nick Vallelonga,Paul Sloan,,Leo Amari,Jesse Corti,TinRes Entertainment,Vallelonga Productions,Cliff Martinez,Richard Halsey,Jeffrey C. Mygatt,,Mike Currie,Maija Beeton,tt1027747,1027747.0
Pretty Ugly People,99,"['Missi Pyle', 'Melissa McCarthy', 'Larry Sullivan', 'Phill Lewis', 'Josh Hopkins', 'Jack Noseworthy', 'Octavia Spencer', 'Philip Littell', 'William Sanderson', 'Allison Janney', 'Stacy Yutuc', 'Allison Mackie', 'Amy Landers', 'Drew Matthews', 'Sean Daly', 'Brutus the Bear', 'Ben Falcone', 'Tate Taylor', 'Hayden Kiely', 'Wyatt Earp', 'Kurt Kelly']","['Comedy', 'Drama']",['us'],['en'],R,,,,5.0,1785.0,,Pretty Ugly People,Tate Taylor,Tate Taylor,,Brunson Green,Sonya Lunsford,Harbinger Pictures,Plump Pictures,Lucian Piane,Justin C. Green,J.P. Lipa,Jennifer Carpenter,Bobby Bastarache,Jamison Goei,tt0874425,874425.0
Smart People,95,"['Dennis Quaid', 'Sarah Jessica Parker', 'Thomas Haden Church', 'Ellen Page', 'Ashton Holmes', 'Christine Lahti', 'Camille Mana', 'David Denman', 'Don Wadsworth', 'Robert Haley', 'Patrick Sebes', 'Kevin James Doyle', 'Paul Huber', 'Iva Jean Saraceni', 'Richard John Walters', 'Scott A. Martin', 'Jane Mowder', 'Adam Kroloff', 'Patrick Jordan', 'Amanda Jane Cooper', 'Kiley Caughey', 'Christy Harst', 'Rick Warner', 'Barret Hackney', 'José A. Rivas', 'Zilda Alvez', 'Tony Amen', 'Elysia Annacini', 'Stephanie Bankosh', 'Aaron Bernard', 'Neil Booker', 'Will Guffey', 'John W. Iwanonkiw', 'William Kania', 'Benjamin Jeran McGinn', 'Jason Menz', 'Jackson Nunn', 'Joe Pawlenko', 'Jon Yu']","['Comedy', 'Drama', 'Romance']",['us'],"['en', 'es']",R,,"$4,092,465, 13 Apr 2008",,6.1,22031.0,11 Apr 2008 (USA),Smart People,Noam Murro,Mark Poirier,,Omar Amanat,Deborah Aquila,Miramax,Groundswell Productions,Nuno Bettencourt,Robert Frazen,Toby Irwin,Teresa Visinare,Lillian Awa,Grant Janssen,tt0858479,858479.0
The Loss of a Teardrop Diamond,102,"['Bryce Dallas Howard', 'Chris Evans', 'Will Patton', 'Ann-Margret', 'Mamie Gummer', 'Jessica Collins', 'Ellen Burstyn', 'Peter Gerety', 'Marin Ireland', 'Zoe Perry', 'Barbara Garrick', 'Zach Grenier', 'Laila Robins', 'Susan Blommaert', 'Carol Sutton', 'Rhoda Griffis', 'Harold Evans', 'Geraldine Singer', 'Marco St. John', 'Jenny Shakeshaft', 'Melissa Odom', 'Terrance Taplin', 'Alana McNair', 'Douglas M. Griffin', 'Erin Jackson-Legris', 'Brittany Zimmerle', 'Charles Pineda', 'Derrick Denicola', 'John Gregory Willard', 'Hevin Hampton', 'Trent Dee', 'Natalia Payne', 'Jillian Batherson', 'Ross Britz', 'Hunter Burke', 'Courtney James Clark', 'Drew Langhart', 'Ryan Chase Lee', 'Jill Miller', 'Kelly Phelan', 'Ryan Reinike', 'Robert W. Savina']","['Drama', 'Romance']",['us'],['en'],PG-13,6500000.0,"$22,872, 03 Jan 2010",,5.8,2275.0,,The Loss of a Teardrop Diamond,Jodie Markell,Tennessee Williams,,Brad M. Gilbert,Ronald H. Gilbert,Constellation Entertainment,Grand Army Entertainment,Mark Orton,Susan E. Morse,Giles Nuttgens,Alice Baker,Christopher S. Bryson,Chris Gelles,tt0896031,896031.0
Asylum,93,"['Sarah Roemer', 'Jake Muxworthy', 'Mark Rolston', 'Travis Van Winkle', 'Ellen Hollman', 'Carolina Garcia', 'Cody Kasch', 'Lin Shaye', 'Joe Inscoe', 'Gabe Wood', 'Randall Sims', 'Andrea Powell', 'Pete Burris', 'Caroline Kent', 'Brantley Pollock', 'Crystal Coney', 'Ben Daniele', 'Cody Hanford', 'Bridget Gethins', 'Ron Clinton Smith', 'Juan-Carlos Guzman', 'Jamie Moore', 'Charles Cabaniss', 'Emily Alsdorf', 'Aaron Blomberg', 'Jerry Cashman', 'Jamie Hill Fuller', 'Montrey Gordy']","['Horror', 'Thriller']",['us'],['en'],R,9000000.0,,,4.1,3277.0,20 Mar 2008 (Germany),Asylum,David R. Ellis,Ethan Lawrence,,Patrick Aiello,Ashok Amritraj,Hyde Park Films,Mad Scientist Productions,David Hamilton,Howard E. Smith,Gary Capo,Tricia Schneider,Karen Estelle Collins,Daniel Birnbaum,tt0804443,804443.0
Berlin Calling,100,"['Paul Kalkbrenner', 'Rita Lengyel', 'Corinna Harfouch', 'Araba Walton', 'Peter Schneider', 'Rolf Peter Kahl', 'Henriette Müller', 'Udo Kroschwald', 'Megan Gay', 'Max Mauff', 'Peter Moltzen', 'Dirk Borchardt', 'Erdal Yildiz', 'Ernest Hausmann', 'André Hoffmann', 'Caspar Bódy', 'Paul Preuss', 'Mehdi Nebbou', 'Doreen Schmidt', 'Anja Limbach', 'Sascha Funke', 'Housemeister', 'Onze', 'Fritz Kalkbrenner', 'Peggy Laubinger', 'Frank Künster', 'Scott', 'Nico Bäthge', 'Yan St-Pierre']","['Comedy', 'Drama', 'Music']",['de'],['de'],,,,,7.3,12518.0,02 Oct 2008 (Germany),Berlin Calling,Hannes Stöhr,Hannes Stöhr,,Karsten Aurich,Hannes Stöhr,Sabotage Films GmbH,Stoehrfilm,Paul Kalkbrenner,Anne Fabini,Andreas Doub,,Mirko Borscht,Matthias Albrecht,tt0211946,211946.0
Killshot,95,"['Mickey Rourke', 'Brandon McGibbon', 'Peter Kelly Gaudreault', 'Michelle Arvizu', 'Richard Zeppieri', 'Alexis Butler', 'Hal Holbrook', 'Diane Lane', 'Robert Gow', 'Catherine Hayos', 'Thomas Jane', 'Craig Blair', 'Joseph Gordon-Levitt', 'Lynne Deragon', 'Rosario Dawson', 'Hazel Desjarlais', 'Aldred Montoya', 'Don McManus', 'Tim Campbell', 'Tim Eddis', 'Beatriz Yuste', 'Tom McCamus', 'Michael Joseph Bernier', 'Jim Codrington', 'Karen Robinson', 'Lois Smith', 'Steve Cumyn', 'James Anthony', 'Craig Eldridge', 'Mark-Cameron Fraser', 'Tony Nappo', 'Michael Rhoades', 'Inga Cadranel', 'Christine Brubaker', 'DTeflon', 'Joshua Rollins', 'Michael Sercerchi', 'Shanly Trinidad']","['Action', 'Crime', 'Drama', 'Thriller']",['us'],['en'],R,,"$10,741, 25 Jan 2009",,6.0,20025.0,13 Nov 2008 (Israel),Killshot,John Madden,Hossein Amini,,Lawrence Bender,Richard N. Gladstein,The Weinstein Company,FilmColony,Klaus Badelt,Mick Audsley,Caleb Deschanel,Steven Essam,Jeff J.J. Authors,Louie Alexander,tt0443559,443559.0
The Onion Movie,86,"['Daniel Chacón', 'Ken Takemoto', 'Steven Seagal', 'Don McManus', 'Kate Fuglei', 'Abigail Mavity', 'Reid Weaver', 'Brian Powell', 'Adele Robbins', 'Jason L. Miller', 'Brendon Baerg', 'Len Cariou', 'Larissa Laskin', 'Scott Klace', 'Barbara Pilavin', 'Sandy Kenyon', 'Sam Menning', 'Orlando Seale', 'Erik Stolhanske', 'Sarah McElligott', 'Michael Bolton', 'Karl Montgomery', 'Kwame Boateng', 'Steven Kozlowski', 'Randy Oglesby', 'Archie Howard', 'Howard Shur', 'Todd Hanson', 'Arthur Kendall', 'Ira Gewant', 'Christopher Weeks', 'Edward Ansara', 'Murray Gershenz', ""Paul 'Mousie' Garner"", 'Helen Geller', 'Richard Fancy', 'Murphy Dunne', 'Alex Solowitz', 'Savannah Haske', 'Griffin M. Creech', 'Daniel Dae Kim', 'Stefan Sacks', 'Rebecca Lowman', 'Amy Davies', 'John Gibson Miller', 'Jim Gleason', 'Ben Braat', 'Sal Lopez', 'Jay Montalvo', 'Bashar Rahal', 'Russell Steinberg', 'Ahmed Ahmed', 'Amir Talai', 'Ryan Bosch', 'Leslie Duke', 'Brendan Fletcher', 'Todd Bosley', 'Michael Brainard', 'Dane Farwell', 'Mary Boucher', 'Chris Karwowski', 'Michael Harte', 'Charles Howerton', 'James Kayten', 'Sean Conroy', 'Christopher Boyer', 'S.E. Perry', 'Michael Harney', 'Alonzo Bodden', 'Gill Gayle', 'Robert Shampain', 'Jordan Lindsay Hamm', 'Tom Wright', 'Gedde Watanabe', 'Troy L. Collins', 'Daniel Colembie', 'Marc Antonio Pritchett', 'Jerry Giles', 'John Viener', 'Mike Loew', 'David Chisum', 'Martin Morales', 'Micah Sauers', 'Michael R. Dowell', 'Ken Narasaki', 'Clint Culp', 'Paul Scheer', 'Maria Schneider', 'Dustin Seavey', 'Bill Dearth', 'Gregorio', 'James M. Connor', 'Michael Delaney', 'Nick Chinlund', 'Jim Rash', 'Angel Cassidy', 'Mia Crowe', 'Gauge', 'Kirk Ward', 'Eric Siegel', 'Jen Cohn', 'Meredith Baxter', 'Charley Beil', 'Daniel Benson', 'Adam Crosby', 'Jed Rees', 'Greg Pitts', 'Greg Cipes', 'William Duffy', 'Cory McAbee', 'Evgeniy Lazarev', 'Adam Gregor', 'Terrence Flack', 'Mo McRae', 'Sarah DeVincentis', 'Michelle Buffone', 'Jim Ortlieb', 'Cory Nartatez', 'Savastian Padilla', 'Bruce Stevenson', 'Chris Villa', 'Kenneth C. Rosier', 'Rodney Dangerfield', 'Ivan Klipstein', 'Hanna Bluth', 'Jennifer Saurenman', 'Tanya Ballinger', 'Kamela Forbes', 'Neva Massey', 'Eleanor Mercado', 'Karen Miller', 'Rachelle Wood', 'André Costa', 'Donna Glytch', 'Michon Suyama', 'Vai Tiare', 'Kato Bonner', 'Allison Kyler', 'Brandy Lamkin', 'Clifford McGhee', 'Tomasina Parrott', 'Adrian Armas', 'Kevin Federline', 'Dante Harper', 'Robert Hoffman', 'Lucas Raynaud', 'Dave Scott', 'Harry Shum Jr.', 'Ahmed B. Badran', 'Kathie Barnes', 'Bo Barrett', 'Jackson Bolt', 'Chris Cashman', 'Martez Covington', 'Said Faraj', 'Bill Frenzer', 'Justin Rodgers Hall', 'Glen Hambly', 'Susanna Harter', 'Mohammed Hassan', 'Hiro Koda', 'Eloise Lynch', 'Marshall Manesh', 'Ronald McAdams', 'Joel McHale', 'Chrissy Metz', 'Christopher Nissley', 'Blaine Pate', 'Paula Price', 'Tony Sagastizado I', 'Helen Slayton-Hughes', 'Channing Swift', 'Tony Swift', 'Cassie Townsend', 'Melissa Zanit']",['Comedy'],['us'],"['en', 'ru', 'es']",Not Rated,,,,6.2,15002.0,07 Jan 2008 (Brazil),The Onion Movie,Tom Kuntz,Todd Hanson,Robert Siegel,Kevin Halloran,David Miner,3 Arts Entertainment,Fox Searchlight Pictures,Asche & Spencer,Frederick Wardell,Maryse Alberti,,William Paul Clark,Kent Johnson,tt0392878,392878.0
Make It Happen,90,"['Mary Elizabeth Winstead', 'Tessa Thompson', 'Riley Smith', 'John Reardon', 'Julissa Bermudez', 'Ashley Roberts', 'Karen LeBlanc', 'Matt Kippen', 'Erik Fjeldsted', 'Aaron Merke', 'Leigh Enns', 'Christina Grace', 'Debbie Patterson', 'Sofia Costantini', 'Jeremy Koz', 'Gordon Tanner', 'Kyle Nobess', 'Terry Ray', 'Alexandra Herzog', 'Michael Xavier', 'Sara Thompson', 'Tara Birtwhistle', 'Ernie Pitts', 'Dan Skene', 'Nigel Holt', 'Duncan Tran', 'Tyrell Witherspoon', 'Rylan Mayberry']",['Drama'],['us'],['en'],PG-13,,,,5.4,5861.0,08 Aug 2008 (UK),Make It Happen,Darren Grant,Duane Adler,Nicole Avril,Duane Adler,Erix Arocha,The Mayhem Project,,Paul Haslinger,Scott Richter,David Claessen,Stephen Arndt,Dianne Domaratzki,Christopher Dusendschon,tt0822868,822868.0
Dostana,145,"['Abhishek Bachchan', 'John Abraham', 'Priyanka Chopra', 'Kiron Kher', 'Bobby Deol', 'Boman Irani', 'Sushmita Mukherjee', 'Eduardo M. Freyre', 'Liannette Altuve', 'Steven Baker', 'Everlayn Borges', 'Claudia Camacho', 'Anthony Correa', 'Aoife Dineen', 'Monika Gaba', 'Harry Key', 'Alyona Khmara', 'Aubree Marchione', 'Harrison Myles', 'Robert Nuzzie', 'Rammy C. Pandey', 'Ben Schneider', 'Shilpa Shetty Kundra', 'Edward Sonnenblick', 'Thomas Tevana', 'Ana Villafañe', 'Sam Yazbeck', 'Paul Aldanée', 'Marina Kufa', 'Mavrick Moreno', 'Robert Paget', 'Armando Rodriguez', 'Mollie Rose', 'Chris Shaw']","['Comedy', 'Drama', 'Romance']","['in', 'us']","['hi', 'en']",Not Rated,5000000.0,,,6.5,12947.0,13 Nov 2008 (Kuwait),Dostana,Tarun Mansukhani,Anvita Dutt Guptan,,Constance Buccafurri,Hiroo Johar,Black Dog Jib Productions,Dharma Productions,Vishal Dadlani,Manan Sagar,Ayananka Bose,,Sumiran Banerjee,Vikas Agarwal,tt1185420,1185420.0
The Black Balloon,97,"['Rhys Wakefield', 'Luke Ford', 'Toni Collette', 'Erik Thomson', 'Gemma Ward', 'Sarah Woods', 'Sam Fraser', 'Makirum Fahey-Leigh', 'Oliver Brookes', 'Jan Ringrose', 'Bradley Orford', 'Zelie Bullen', 'Anthony Phelan', 'Deborah Piper', 'Henry Nixon', 'Jim Maxwell', 'Rebecca Massey', 'Ryan Clark', 'Aaron Glenane', 'Lisa Kowalski', 'Lloyd Allison-Young', 'Nathin Butler', 'Elle-May Patterson', 'Carla Gee', 'Toby Molineaux', 'Yure Covich', 'Paul Doyle', 'Andrew James', 'Firass Dirani', 'Ngoc Phan', 'Sally Evans', 'Kate Box', 'Zoe Carides', 'George Badawi', 'Jeffery Armstrong', 'Robert Armstrong', 'Rosemary Armstrong', 'Holly Austin', 'Alexander Berlage', 'George Bountros', 'Matthew Cahill', 'Cameron Fyfe', 'Jordan Hagivassilis', 'Tyne Miller', 'Lachlan Monaghan', 'Jared Ohlstein', 'Mathew Parsons', 'Amy Jo Farrow Potts', 'Andrew Ryan', 'Ellie Singer', 'Edward Smith', 'Kieran Smith', 'Gemma Thomas', 'Jackson T. Trout', 'Tom Trout', 'Shai de Vletter-Sont', 'Sonny Vrebac', 'Arahni Sont', 'Claire McCarthy', 'Judy Singer', 'Terry Flanagan', 'Millie Spencer-Brown', 'Inge Sildnik', 'Birthe Nohrden', 'Jennifer Cutler', 'Michael Allison', 'Martin Lynes', 'Eliza Logan', 'Sofia Fedirchuk', 'Indigo Cumming', 'James Duffy', 'Andy Meritakis', 'Louise Sykes']","['Drama', 'Romance']","['au', 'gb']",['en'],PG-13,,,,7.3,8318.0,06 Mar 2008 (Australia),The Black Balloon,Elissa Down,Elissa Down,Jimmy Jack,Sally Ayre-Smith,Anita Belgiorno-Nettis,Australian Film Finance Corporation,Black Balloon Productions,Michael Yezerski,Veronika Jenet,Denson Baker,Jodie Whetter,Brendan Barry,Lindsay Adams,tt0865297,865297.0
The Great Buck Howard,90,"['John Malkovich', 'Colin Hanks', 'Emily Blunt', 'Ricky Jay', 'Steve Zahn', 'Tom Hanks', 'Griffin Dunne', 'Debra Monk', 'Adam Scott', 'Patrick Fischler', 'Wallace Langham', 'Jonathan Ames', 'Jacquie Barnbrook', 'Paul Darricarrere', 'Terry Scannell', 'Matt Hoey', 'Jobi Graham', 'B.J. Hendricks', 'Nate Hartley', 'Floyd Van Buskirk', 'Sandy Martin', 'Wendy Worthington', 'Danica Sheridan', 'Casey Wilson', 'Steven Metzler', 'Bill Saluga', 'Gary Coleman', 'Michael Winslow', 'Jack Carter', 'Julie Shimer', 'Stacey Travis', 'Jill Pauletich-Ragan', 'David Nunn', 'Bill Rochon', 'David Anthony Higgins', 'Ming Lo', 'Kimberly Scott', 'Sheila Gray Robinson', 'Robert Lewis Williams', 'Daniel Leo Carroll', 'Max E. Williams', 'Dale Waddington', 'Martha Stewart', 'Damien Fahey', ""Conan O'Brien"", 'Jon Stewart', 'David Blaine', 'Regis Philbin', 'Kelly Ripa', 'George Takei', 'Mary Hart', 'Jay Leno', 'Tom Arnold', 'Don Most', 'Shane Johnson', 'Amy Jo Traicoff', 'Melissa Stone', 'Matthew Gray Gubler', 'Marni McFair', 'Mary Jo Burger', ""Norm O'Neill"", 'Clap Your Hands Say Yeah', 'Alec Ounsworth', 'Sean Greenhalgh', 'Robert Guertin', 'Tyler Sargent', 'Lee Sargent', 'Dave Attell', 'Ankur Bhatt', 'Yuki Bird', 'Tony Clemons', 'David Cohen', 'Bubba Da Skitso', 'Osa Danam', 'Diana Kyle', 'Chene Lawson', 'Madeline McCuskey', 'David Mehl', 'P. David Miller', 'Wayne Roadie', 'Ethan Rosenbaum', 'Franklin Ruehl', 'Larry Russo', 'David Sampen', 'Lorna Scott', 'Katherine VanderLinden', 'Nate Witty']","['Comedy', 'Drama']",['us'],['en'],PG,,"$115,004, 22 Mar 2009",,6.4,13137.0,10 Apr 2009 (USA),The Great Buck Howard,Sean McGinly,Sean McGinly,,Marvin V. Acuna,Gary Goetzman,Bristol Bay Productions,Playtone,Blake Neely,Myron Kerstein,Tak Fujimoto,Linda Lee Sutton,Rosemary C. Cremona,William L. Arance,tt0460810,460810.0
Stone of Destiny,96,"['Charlie Cox', 'Kate Mara', 'Stephen McCole', 'Ciaron Kelly', 'Billy Boyd', 'Robert Carlyle', 'Peter Mullan', 'Brenda Fricker', 'Juliet Cadzow', 'Alex Donald', 'John Comerford', 'Richard Addison', 'Danielle Stewart', 'Suzanne Dance', 'Pauline King', 'Bryan Lowe', 'Margaret Newlands', 'Ron Donachie', 'Rab Affleck', 'Stewart Porter', 'Bernard Horsfall', 'Stephen Clyde', 'Johnny Meres', 'Stewart Cairns', 'Ian Hamilton', 'Jamie Brotherston', 'James Cullen', 'Alan Cuthbertson', 'Adrienne Fraser', 'Mark Harvey', 'Cole Henderson', 'Kris Jack', 'Amanda Lauren', 'Alan Marsh', 'Ashley McFarlane', 'Iain McGregor', 'Greig Robertson', 'Adam Smith', 'Kimberley Watson']","['Adventure', 'Comedy', 'Crime', 'Drama', 'History']","['ca', 'gb']",['en'],PG::(NO. 44242),,,,6.8,3516.0,19 Dec 2008 (UK),Stone of Destiny,Charles Martin Smith,Ian Hamilton,,Andrew Boswell,Peter Gallagher,Infinity Features Entertainment,The Mob Film Company,Mychael Danna,Fredrik Thorsen,Glen Winter,,James Blackwell,Ori Ben-Shabat,tt1037156,1037156.0
The Yellow Handkerchief,102,"['William Hurt', 'Maria Bello', 'Kristen Stewart', 'Eddie Redmayne', 'Kaori Momoi', 'Emanuel Cohn', 'Nurith Cohn', 'Veronica Russell', 'Grover Coulson', 'Lisha Brock', 'Lucy Faust', 'John Gregory Willard', 'Rebecca Newman', 'Ross Britz', 'Marshall Cain', 'Aimée Spring Fortier', 'Ross Francis', 'Douglas M. Griffin', 'Jeff Galpin', 'Ashlynn Ross', 'Tanner Gill', 'Eric F. Adams', 'Shayne Tingle', 'Michael D. Kennedy', 'Paige Pareti', 'Barbara Balentine', 'Victor Brunette', 'Joshua Davis', 'Chris J. Fanguy', 'Cynthia LeBlanc', 'Elton LeBlanc', 'R.O. Mackey', 'Bello Nock', ""Holly O'Quin"", 'Lawanda Smith', 'Dawna Williams']","['Drama', 'Romance']",['us'],['en'],PG-13,15500000.0,"$37,296, 28 Feb 2010",,6.7,7790.0,19 Nov 2009 (Germany),The Yellow Handkerchief,Udayan Prasad,Pete Hamill,,Lillian Birnbaum,Arthur Cohn,Arthur Cohn Productions,,Eef Barzelay,Christopher Tellefsen,Chris Menges,Luci Leary,Alan Breton,Michael Curtis,tt0954990,954990.0
Adulthood,99,"['Noel Clarke', 'Scarlett Alice Johnson', 'Adam Deacon', 'Jacob Anderson', 'Plan B', 'Femi Oyeniran', 'Shanika Warren-Markland', 'Nathan Constance', 'Cornell John', 'Pierre Mascolo', 'Wil Johnson', 'Red Madrell', 'Don Klass', 'Arnold Oceng', 'Madeleine Fairley', 'Danny Dyer', 'Adjoa Andoh', 'Troy Glasgow', 'Ben Turner', 'Nicholas Briggs', 'David Ajala', 'Rosanna Hoult', 'Teddy Nygh', 'Jason Frederick', 'Shystie', 'Fraser Ayres', 'Davie Fairbanks', 'James Hamilton', 'Paul Beckham', 'Nick Nevern', 'Kyle Summercorn', 'Alexandra Piasecki', 'Patrik-Ian Polk', 'Sabrina Jones', 'Melahat Cengel', 'Mary Caybakan', 'Katrina Smith', 'Clemence Slama', 'Sarah de Freitas', 'Kirsty McHugh', 'Chris Sancha', 'Rowley Irlam', ""Dwaine O'Connor"", 'Stephanie Edwin-Fisher', 'Papa Face', 'Danny Makepeace', 'Kevin Marshall', 'Rodney Migillive', 'Paul Clarke', 'Robert Dearle', 'Kieran Lee', 'Wayne Llewellyn', 'Dominic Armstrong', 'Odile Bellew', 'Camille Coduri', 'Sunny Coduri Fulford', 'Jordan John', 'Sharif Ahmed', 'Samantha Harrington', 'Karen King', 'Hannah Bhuiya', 'Shaka Henderson', 'Emmanuel Umeh', 'Romell Holmes', 'Helen Laker', 'Dominique Tipper', 'Ana Sofia Da Silva', 'Rhoda Montemayor', 'Lynn Blades', 'Fernando da Silva', 'David Warren', 'James Grogan', 'Forbes KB', 'Jason Lewis', 'Darren Luckin', 'Mario Macan', 'Amir Madaninejad', 'Brandon Q W McConnell', 'Ailema Sousa', 'Sam Suni', 'Daniel Bertrand-Grell', 'Robert Karn', 'Amira Malek', 'Kevin Proctor', 'Cedric St. Clair']","['Crime', 'Drama']",['gb'],['en'],,,,,6.6,11444.0,20 Jun 2008 (UK),Adulthood,Noel Clarke,Noel Clarke,,James Biddle,George Isaac,Cipher Films,Limelight,Chad Hobson,Tom Hemmings,Brian Tufano,,Joe Barlow,Timothy P. Jones,tt1126596,1126596.0
Forever Strong,112,"['Gary Cole', 'Sean Astin', 'Neal McDonough', 'Sean Faris', 'Julie Warner', 'Penn Badgley', 'Eliot Schwartz', 'Michael J. Pagan', 'Nathan West', 'Max Kasch', 'Arielle Kebbel', 'Kepa Kruse', 'Junior Salt', 'Jeremy Earl', 'Larry Bagby', 'K. Danor Gerald', 'Andrew Roach', 'William Rubio', 'Olesya Rulin', 'Elizabeth Hansen', 'Joey Miyashima', 'Lauren McKnight', 'Jimmy Chunga', 'Brian Peck', 'Dave Fox', 'Maclain Nelson', 'Britani Bateman Underwood', 'Taylor Bateman', 'Mark Ormsby', 'Mark Numbers', 'Haloti Liavaa', 'Larry Gelwix', 'Dean Grace', 'Mike Law', 'Rick Spencer', 'Alema Harrington', 'Devin Wolfe', 'Steve Luna', 'Emily Dunn', 'Yolanda Wood', 'Peter Tuiaki', 'Jonathan Law', 'Ivan R. Bird', 'Shareece Pfeiffer', 'Kirsten Wunderlich', 'Jamey Airhart', 'Dave Anderson', ""Peter 'Hollywood' Black"", 'David Cole', 'Nathan Herrscher', 'Ben Hill', 'Cameron Kiser', 'Trevor King', 'Preston Miller', 'Scott Nielsen', 'Colton Phippen', 'David Root', 'Ryan Roundy', 'Andrew Swindle', 'Jorge Portal', 'Sam Thorley', 'Pau Tuuanaiaou', ""Robert 'Lopeti' Wolfgramm"", 'Matthew Bellows', 'Big Budah', 'Kami Christiansen', 'Zachary Haycock', 'Tyler Kain', 'Kim Page', 'Irene Santiago', 'Teddi Siddall', 'Andrew B. Ackerman', 'Morgan B. Ackerman', 'Talon G. Ackerman', 'Jacob Adams', 'Kenna Dawn', 'Gerry Garcia', 'Patrick Gibbs', 'Elizabeth Hales', 'Carly Johnston', 'Carleigh King', 'Alan Meyer', 'Marlys Miller-Fladeland', 'Taylor Moulton', 'Savannah Ostler', 'Peter Phelps', 'Jacob Shamy', 'Robin Westover']","['Drama', 'Sport']",['us'],['en'],PG-13,,"$68,283, 03 Oct 2008",,7.2,9906.0,26 Sep 2008 (USA),Forever Strong,Ryan Little,David Pliler,,Adam Abel,Steven A. Lee,Go Films,Picture Rock Entertainment,J Bateman,John Lyde,T.C. Christensen,Debbie Farrer,Jason Allred,Colin V. Barton,tt0840322,840322.0
Train,94,"['Thora Birch', 'Gideon Emery', 'Kavan Reece', 'Derek Magyar', 'Gloria Votsis', 'Todd Jensen', 'Vladimir Vladimirov', 'Koyna Ruseva', 'Valentin Ganev', 'Ivan Barnev', 'Nikolay Mutafchiev', 'Miroslav Emilov', 'Aleksandra Vasileva', 'Lina Zlateva', 'Matthew Tibbs', 'Dilyana Popova', 'Mihail Miltchev', 'Israel Baharov', 'Zachary Baharov', 'Yang Chung', 'Hong Ying Wen', 'Andrey Slabakov', 'Tezdzhan Ismailova', 'Ruslan Kupenov', 'Velislav Pavlov', 'Shelly Varod', 'Daniel Dimov', 'Mike Straub', 'Violeta Markovska', 'Teodor Yordanov', 'Marieta Krusteva', 'Petar Dimitrov', 'Marli Grigorov', 'Mimoza Bazova', 'Adriana Penkova', 'Vyara Tomova', 'Ralitza Bojidarova', 'Alice Alexandrova', 'Valentin Bojurski', 'Stanimir Dimitrov', 'Emanuil Odadjiev', 'Lilyana Peeva', 'George Boyadjiev', 'Peter Dimitrov', 'Bolt Birch']","['Horror', 'Thriller']",['us'],['en'],R::(certificate # 42635),,,,4.7,5649.0,02 May 2009 (Japan),Train,Gideon Raff,Gideon Raff,,Jack Birch,Boaz Davidson,Millennium Films,,Michael Wandmacher,Alain Jakubowicz,Martina Radwan,,Irina Doneva,Simeon Asenov,tt1015474,1015474.0
